id,category,category_code,category_name,question,compliance_expectation,tags,_normalized_tags
331,BUSINESS CONTINUITY,BUSINESS CONTINUITY,,Is business continuity planning performed?,Continuity plan documentation,,
332,BUSINESS CONTINUITY,BUSINESS CONTINUITY,,Are critical suppliers identified?,Supplier risk assessment,,
333,BUSINESS CONTINUITY,BUSINESS CONTINUITY,,Are backup systems maintained?,Backup system testing,,
334,BUSINESS CONTINUITY,BUSINESS CONTINUITY,,Is data backup performed regularly?,Data backup records,,
335,BUSINESS CONTINUITY,BUSINESS CONTINUITY,,Are alternative processing options identified?,Contingency arrangements,,
336,BUSINESS CONTINUITY,BUSINESS CONTINUITY,,Is insurance coverage reviewed annually?,Insurance review records,,
337,BUSINESS CONTINUITY,BUSINESS CONTINUITY,,Are financial controls adequate?,Financial audit results,,
338,BUSINESS CONTINUITY,BUSINESS CONTINUITY,,Are contracts properly managed?,Contract management system,,
339,BUSINESS CONTINUITY,BUSINESS CONTINUITY,,Are intellectual property rights protected?,IP protection measures,,
340,BUSINESS CONTINUITY,BUSINESS CONTINUITY,,Are confidentiality agreements enforced?,NDA management records,,
341,STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,,Are customer requirements documented?,Customer requirement records,,
342,STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,,Is customer satisfaction measured?,Satisfaction survey results,,
343,STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,,Are supplier relationships managed?,Supplier management program,,
344,STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,,Is community engagement performed?,Community interaction records,,
345,STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,,Are regulatory relationships maintained?,Regulatory correspondence,,
346,STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,,Are industry associations engaged?,Association participation,,
347,STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,,Is transparency maintained as required?,Public disclosure records,,
348,STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,,Are stakeholder concerns addressed?,Concern response records,,
349,STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,,Is marketing accurate and compliant?,Marketing material review,,
350,STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,,Are certifications properly displayed?,Certificate display verification,,
351,SPECIAL CONSIDERATIONS,SPECIAL CONSIDERATIONS,,Are Basel Convention requirements met?,Basel compliance documentation,,
352,SPECIAL CONSIDERATIONS,SPECIAL CONSIDERATIONS,,Are e-Stewards requirements considered?,Dual certification management,,
353,SPECIAL CONSIDERATIONS,SPECIAL CONSIDERATIONS,,Are OEM requirements fulfilled?,OEM agreement compliance,,
354,SPECIAL CONSIDERATIONS,SPECIAL CONSIDERATIONS,,Are government contracts properly managed?,Government compliance records,,
355,SPECIAL CONSIDERATIONS,SPECIAL CONSIDERATIONS,,Are data destruction certificates provided?,Certificate issuance records,,
356,SPECIAL CONSIDERATIONS,SPECIAL CONSIDERATIONS,,Are asset recovery services documented?,Asset tracking documentation,,
357,SPECIAL CONSIDERATIONS,SPECIAL CONSIDERATIONS,,Are ITAD services properly managed?,ITAD service records,,
358,SPECIAL CONSIDERATIONS,SPECIAL CONSIDERATIONS,,Are refurbishment standards maintained?,Refurbishment specifications,,
359,SPECIAL CONSIDERATIONS,SPECIAL CONSIDERATIONS,,Are warranty provisions adequate?,Warranty program documentation,,
360,SPECIAL CONSIDERATIONS,SPECIAL CONSIDERATIONS,,Are reverse logistics managed?,Return logistics procedures,,
361,CERTIFICATION MAINTENANCE,CERTIFICATION MAINTENANCE,,Are surveillance audits scheduled properly?,12-month maximum intervals,,
362,CERTIFICATION MAINTENANCE,CERTIFICATION MAINTENANCE,,Are certificate changes reported timely?,7-day notification records,,
363,CERTIFICATION MAINTENANCE,CERTIFICATION MAINTENANCE,,Are scope changes properly evaluated?,Scope change assessments,,
364,CERTIFICATION MAINTENANCE,CERTIFICATION MAINTENANCE,,Are facility moves properly managed?,Location change procedures,,
365,CERTIFICATION MAINTENANCE,CERTIFICATION MAINTENANCE,,Are name changes properly documented?,Name change verification,,
366,CERTIFICATION MAINTENANCE,CERTIFICATION MAINTENANCE,,Are structure changes properly assessed?,Structure change evaluation,,
367,CERTIFICATION MAINTENANCE,CERTIFICATION MAINTENANCE,,Is SERI licensing current?,License acknowledgment,,
368,CERTIFICATION MAINTENANCE,CERTIFICATION MAINTENANCE,,Are CB communications timely?,Communication records,,
369,CERTIFICATION MAINTENANCE,CERTIFICATION MAINTENANCE,,Are nonconformity deadlines met?,Table 6 compliance,,
370,CERTIFICATION MAINTENANCE,CERTIFICATION MAINTENANCE,,Are major NCs properly managed?,Major NC resolution,,
371,FINAL VERIFICATION,FINAL VERIFICATION,,Can the facility demonstrate overall R2 compliance?,Comprehensive compliance evidence,,
372,FINAL VERIFICATION,FINAL VERIFICATION,,Are all applicable appendices properly implemented?,Appendix implementation verification,,
373,FINAL VERIFICATION,FINAL VERIFICATION,,Is the management system effectively integrated?,System integration evidence,,
374,FINAL VERIFICATION,FINAL VERIFICATION,,Are resources adequate for compliance?,Resource adequacy assessment,,
375,FINAL VERIFICATION,FINAL VERIFICATION,,Is top management committed to R2?,Management commitment evidence,,
376,FINAL VERIFICATION,FINAL VERIFICATION,,Are roles and responsibilities clearly defined?,Organizational chart and descriptions,,
377,FINAL VERIFICATION,FINAL VERIFICATION,,Is documentation control effective?,Document control system,,
378,FINAL VERIFICATION,FINAL VERIFICATION,,Are records properly maintained?,Records management system,,
379,FINAL VERIFICATION,FINAL VERIFICATION,,Is the facility prepared for unannounced inspections?,Inspection readiness,,
380,FINAL VERIFICATION,FINAL VERIFICATION,,Are all R2 requirements demonstrably met?,Complete conformance portfolio,,
381,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Are remote audit prerequisites met?,Phase 1 qualification checklist,,
382,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Is documentation uploaded timely?,10-day advance upload,,
383,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Are video capabilities adequate?,Video tour capability,,
384,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Is file sharing secure and functional?,Secure platform access,,
385,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Are all areas accessible virtually?,Complete facility coverage,,
386,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Are workers available for interviews?,Interview scheduling,,
387,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Can operations be observed live?,Active operations verification,,
388,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Are connectivity issues resolved?,Stable connection verification,,
389,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Is documentation in auditor's language?,Translation if needed,,
390,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Are follow-up requirements understood?,Phase 5 completion,,
391,CONTINUOUS IMPROVEMENT,CONTINUOUS IMPROVEMENT,,Are lessons learned captured?,Improvement tracking system,,
392,CONTINUOUS IMPROVEMENT,CONTINUOUS IMPROVEMENT,,Are best practices shared?,Knowledge sharing records,,
393,CONTINUOUS IMPROVEMENT,CONTINUOUS IMPROVEMENT,,Are efficiency improvements tracked?,Efficiency metrics,,
394,CONTINUOUS IMPROVEMENT,CONTINUOUS IMPROVEMENT,,Are cost reductions documented?,Cost benefit analysis,,
395,CONTINUOUS IMPROVEMENT,CONTINUOUS IMPROVEMENT,,Are innovation initiatives supported?,Innovation program evidence,,
396,CONTINUOUS IMPROVEMENT,CONTINUOUS IMPROVEMENT,,Are employee suggestions implemented?,Suggestion program records,,
397,CONTINUOUS IMPROVEMENT,CONTINUOUS IMPROVEMENT,,Are benchmarking activities performed?,Benchmark comparisons,,
398,CONTINUOUS IMPROVEMENT,CONTINUOUS IMPROVEMENT,,Are industry trends monitored?,Trend analysis records,,
399,CONTINUOUS IMPROVEMENT,CONTINUOUS IMPROVEMENT,,Are technology upgrades evaluated?,Technology assessment,,
400,CONTINUOUS IMPROVEMENT,CONTINUOUS IMPROVEMENT,,Is overall performance improving?,Performance trend data,,
